user_id,status_id,created_at,text,source
9.97E+17,1.25E+18,2020-04-26T01:00:21Z,"@UrbnWarfareDuck @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling But the island of Ireland - if that's what I need to use to distinguish from the country is a geographical entity, as is Great Britain, ie they are complete pieces of land, both with other islands off them, but still considered part of the same land mass.",TweetDeck
9.97E+17,1.25E+18,2020-04-26T00:15:25Z,"@OConnorOisin @TenMajor10 @IBIKEDublin @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling Agreed. I was thinking more of the variable road pricing, which all countries should have imho. Punitive first year registration taxes seem to create even more of a sense of entitlement amongst those who can pay them - but that's what I've observed elsewhere, not been to SIN.",TweetDeck
9.97E+17,1.25E+18,2020-04-26T01:03:29Z,"@UrbnWarfareDuck @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling The referees decision never has to be final, but as far as Wikipedia is concerned, Ireland refers to the Ireland. If I was just talking about Ireland in the context of other countries then it's fine

https://t.co/fjRGnBxsr1",TweetDeck
9.97E+17,1.25E+18,2020-04-24T21:14:15Z,"@TenMajor10 @IBIKEDublin @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling Did I read somewhere that Ireland got rid of this road tax thing the same time the UK did (1937), although in a slightly different context?",TweetDeck
9.97E+17,1.25E+18,2020-04-26T00:24:10Z,"@IBIKEDublin @OConnorOisin @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling There are also laws in Hong Kong which protect a taxi the owner being declared bankrupt as it is deemed a work tool. But there are certainly plenty of ultra wealthy who view these taxes as still small beer, and thus benefit from everyone else not driving. It's not equitable",TweetDeck
9.97E+17,1.25E+18,2020-04-26T00:37:48Z,"@OConnorOisin @IBIKEDublin @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling Ghent's genius was that they did it on a very large scale - not just the centre, and that after years of planning, they basically did it overnight. Plenty of UK cities put on events which make them human scale nirvanas for a few short hours, then they go back to usual business",TweetDeck
9.97E+17,1.25E+18,2020-04-26T00:22:31Z,"@IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling It's late, and I confess to going round in circles here. Are you saying Ireland not Eire is correct as Rome is correct in the English  language, not Roma? 

https://t.co/v9aMHTHU1x",TweetDeck
9.97E+17,1.25E+18,2020-04-26T00:14:15Z,"@IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling Oh yeah, I got that bit, I just wasn't sure to what extent the term road tax is still used in Eire. In the UK we joke that people say they are paying a tax that doesn't exist, but my interpretation is that in Ireland you would be paying a tax to London that doesn't exist.",TweetDeck
9.97E+17,1.25E+18,2020-04-26T01:05:25Z,@UrbnWarfareDuck @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling But the point I'm saying here is we are trying to pick apart some differences between overalapping parts of the Venn diagram. Northern Ireland is always going to be part of the island of Ireland but it would never be part of the Republic of Ireland because it wouldn't exist =&gt;=&gt;,TweetDeck
9.97E+17,1.25E+18,2020-04-26T01:12:03Z,"@UrbnWarfareDuck @IBIKEDublin @barraob1 @TenMajor10 @dublincycling @cyclistie @SafeCyclingEire @IrishCycle @DublinCommuters @JoannaDonnellyL @CorkCyclingCrew @GalwayCycling @SligoCycling I think Anglo-Celtic Isles would be a much better term, but if a term isn't widely used, then it has to be explained each time it us used - hence why place names are full of wrong usages, in many situations hundreds of years afterwards",TweetDeck
